sc,model,coef,true,meanest,bias,empse,mse,modse,seerr,cover,becover
41,cirls,1,5,5.00187628909327,0.00187628909326953,0.697700820686369,0.486741277003676,0.708101892475787,1.49076387486331,0.9498,0.9498
41,cirls,2,1,1.05585986309854,0.0558598630985367,0.786172037862154,0.621124990774408,0.703717314003421,-10.4881272657512,0.9703,0.9731
41,cirls,3,1,0.978353402841605,-0.0216465971583949,0.855958122881951,0.733059616865319,0.816201291797789,-4.6447168408548,0.9473,0.947
41,glm,1,5,4.99837608671135,-0.0016239132886513,0.698062693217052,0.487245431603448,0.70892527815344,1.55610449346986,0.9503,0.9501
41,glm,2,1,1.00031450536726,0.000314505367256412,0.880442723687108,0.77510197066823,0.869745093742597,-1.2150284915425,0.9441,0.9441
41,glm,3,1,1.01101958064992,0.0110195806499183,0.887726649723802,0.788101229927083,0.869818909812049,-2.01725834380715,0.9429,0.9432
42,cirls,1,5,5.00061308162298,0.000613081622984346,0.320999123218649,0.103030508932507,0.317866823124927,-0.975797087018315,0.9466,0.9466
42,cirls,2,1,0.999380491826403,-0.000619508173597016,0.366582184550237,0.134369443570198,0.354883513784772,-3.19128186216079,0.9579,0.958
42,cirls,3,1,0.996935015653108,-0.00306498434689162,0.360375463624498,0.12986688186414,0.361867258303297,0.413955673839506,0.9541,0.9535
42,glm,1,5,5.00059964327937,0.00059964327936779,0.321001396711774,0.103031952073303,0.317887935476363,-0.969921398256934,0.9457,0.9457
42,glm,2,1,0.999047957477772,-0.000952042522228358,0.367655809327468,0.135158183437787,0.370581376920636,0.795735445747225,0.9509,0.9509
42,glm,3,1,0.997094244707636,-0.00290575529236425,0.360615098585281,0.130038688416558,0.365521395445433,1.36053561800369,0.9521,0.9517
43,cirls,1,1,0.592566144824902,-0.407433855175098,0.0748776418227591,0.171608446921656,0.0827331141547163,10.4910786995025,0.003000600120024,0.896179235847169
43,cirls,2,0.999999999986112,0.592600186879726,-0.407399813106386,0.0748589080786826,0.171577903452239,0.0774052526791172,3.40152517020171,0.0103020604120824,0.760852170434087
43,cirls,3,0.5,0.592600186879726,0.0926001868797265,0.0748589080786826,0.014178090343281,0.0779075710191038,4.07254529710315,0.259651930386077,0.660932186437287
43,cirls,4,1.3888001859641e-11,0.592600186879726,0.592600186865838,0.0748589080786826,0.356778277206547,0.082086857490562,9.65542992462865,0,0.535607121424285
43,cirls,5,0,0.592600186879726,0.592600186879726,0.0748589080786826,0.356778277223008,0.0889106862567153,18.7710167549641,0,0.367873574714943
