sc,model,df,true,mean,bias,se,mse
70,cirls,e,3.63432595078359,3.56824125,-0.0660847007835894,0.335078910976348,0.116633836471094
70,glm,o,4.98301178509542,5,0.0169882149045764,0,0.00028859944564407
70,glm,e,4.98301178509542,NA,NA,NA,NA
71,cirls,o,3.32490086645537,3.35,0.0250991335446296,0.860682332459393,0.741329966504691
71,cirls,e,3.32490086645537,3.37386578,0.0489649135446295,0.301331886121517,0.0931893882614246
71,glm,o,5.05298630710066,5,-0.0529863071006647,0,0.00280754874016595
71,glm,e,5.05298630710066,NA,NA,NA,NA
72,cirls,o,3.83587924361325,3.8481,0.0122207563867489,0.749187905836597,0.561375736886664
72,cirls,e,3.83587924361325,3.72308632,-0.112792923613251,0.347638248088456,0.133562509916082
72,glm,o,4.9800254536954,5,0.0199745463045993,0,0.00039898250007458
72,glm,e,4.9800254536954,NA,NA,NA,NA
73,cirls,o,3.52291177338488,3.4927,-0.0302117733848837,0.827777283768498,0.68605946125106
73,cirls,e,3.52291177338488,3.45646937,-0.0664424033848836,0.313447046175074,0.102653818818363
73,glm,o,5.10027876981044,5,-0.100278769810435,0,0.0100558316746943
73,glm,e,5.10027876981044,NA,NA,NA,NA
74,cirls,o,3.94610866025789,3.9547,0.00859133974211135,0.722149610542027,0.521521721118564
74,cirls,e,3.94610866025789,3.84673553,-0.0993731302578884,0.364272206003458,0.14255598965987
74,glm,o,5.01342111378707,5,-0.0134211137870697,0,0.000180126295285472
74,glm,e,5.01342111378707,NA,NA,NA,NA
75,cirls,o,3.60763297489158,3.5833,-0.0243329748915802,0.801202410462084,0.642453203667074
75,cirls,e,3.60763297489158,3.50929978,-0.09833319489158,0.302579655821014,0.101214709889537
75,glm,o,5.1067960917139,5,-0.1067960917139,0,0.0114054052053637
75,glm,e,5.1067960917139,NA,NA,NA,NA
76,cirls,o,4.02863571817016,3.9894,-0.0392357181701568,0.705079678997611,0.498627081580328
76,cirls,e,4.02863571817016,3.91732763,-0.111308088170157,0.380575510688111,0.157212726055678
76,glm,o,5.05016991908028,5,-0.0501699190802798,0,0.00251702078052182
76,glm,e,5.05016991908028,NA,NA,NA,NA
77,cirls,o,3.78221246935906,3.7218,-0.0604124693590604,0.788712220456023,0.625654426454059
77,cirls,e,3.78221246935906,3.60870422,-0.173508249359061,0.331983762274653,0.140307309687838
77,glm,o,5.11266589944162,5,-0.112665899441625,0,0.0126936048969904
77,glm,e,5.11266589944162,NA,NA,NA,NA
78,cirls,o,3.96898243639513,4.0022,0.0332175636048668,0.712071530526575,0.508098566531843
78,cirls,e,3.96898243639513,3.96540915,-0.00357328639513321,0.395348960870474,0.156297939156939
78,glm,o,4.97173735985742,5,0.028262640142577,0,0.000798776827828802
78,glm,e,4.97173735985742,NA,NA,NA,NA
79,cirls,o,3.85275602118918,3.8004,-0.0523560211891834,0.772281996390046,0.599100992954762
79,cirls,e,3.85275602118918,3.68110957,-0.171646451189183,0.359718637097388,0.158847062331256
79,glm,o,5.10253025268068,5,-0.102530252680679,0,0.0105124527147639
79,glm,e,5.10253025268068,NA,NA,NA,NA
80,cirls,o,4.03304466270647,4.0009,-0.0321446627064681,0.704520279965373,0.497332469340513
80,cirls,e,4.03304466270647,3.98458317,-0.0484614927064677,0.397911307847166,0.16066609184709
80,glm,o,5.02615914423107,5,-0.0261591442310714,0,0.000684300826901994
80,glm,e,5.02615914423107,NA,NA,NA,NA
81,cirls,o,3.97903089584336,3.9455,-0.0335308958433633,0.735380057101658,0.541854070976059
81,cirls,e,3.97903089584336,3.79501557,-0.184015325843363,0.366980665462715,0.168522981487814
81,glm,o,5.11031870056231,5,-0.11031870056231,0,0.0121702156937566
81,glm,e,5.11031870056231,NA,NA,NA,NA
82,cirls,o,4.0142682050245,3.9925,-0.0217682050244998,0.705048551055837,0.497517604749989
82,cirls,e,4.0142682050245,3.98691079,-0.0273574150245,0.40557390961968,0.165222175301399
82,glm,o,5.03541676229923,5,-0.0354167622992341,0,0.00125434705176045
82,glm,e,5.03541676229923,NA,NA,NA,NA
83,cirls,o,4.0352329875231,3.9877,-0.0475329875231014,0.719861465875904,0.520408094902871
83,cirls,e,4.0352329875231,3.85982485,-0.175408137523101,0.370722341148871,0.168189325430801
83,glm,o,5.07585743319005,5,-0.0758574331900483,0,0.00575435017018265
83,glm,e,5.07585743319005,NA,NA,NA,NA
84,cirls,o,4.0797878032533,4.0149,-0.0648878032532965,0.708327722750057,0.505888417011038
84,cirls,e,4.0797878032533,4.0034447,-0.0763431032532962,0.404971229530673,0.169813565992253
84,glm,o,5.08310592167036,5,-0.0831059216703594,0,0.00690659421667991
84,glm,e,5.08310592167036,NA,NA,NA,NA
